206,10
313,12
2,0
307,0
307,22
203,10
306,10
95,0
324,12
191,22
190,0
397,0
293,22
188,0
19,0
83,0
83,22
286,0
24,10
24,12
182,12
232,12
233,0
25,10
388,22
235,0
235,22
179,10
235,12
236,10
239,12
32,10
173,0
381,12
277,10
172,10
172,12
35,10
64,0
64,22
355,12
368,22
151,10
263,10
263,12
158,10
157,0
365,12
153,12
50,10
2,1
2,21
412,1
7,9
194,13
324,13
116,9
298,9
298,13
223,13
336,9
340,1
340,21
282,21
178,9
236,13
279,1
175,9
175,13
135,13
67,21
142,1
39,9
60,9
59,13
264,1
264,21
2,8
2,14
7,2
407,20
320,8
197,2
217,8
404,14
196,14
218,8
218,14
11,20
403,20
195,2
219,20
323,8
194,2
295,14
190,2
189,8
329,8
329,14
226,2
292,14
336,14
31,8
175,8
174,20
33,2
381,2
173,20
242,20
275,8
275,14
142,2
374,20
165,8
43,8
254,14
359,2
54,8
157,2
157,20
257,20
153,20
210,19
95,15
194,15
295,15
232,19
24,7
390,7
339,15
28,15
386,15
340,7
343,19
347,3
347,19
64,3
64,19
272,19
371,3
46,19
368,3
254,19
204,16
111,18
7,6
7,16
324,16
119,4
119,18
190,6
86,6
86,16
120,6
329,18
397,6
189,6
188,18
19,18
395,4
331,18
24,18
390,18
78,18
337,16
338,4
27,6
28,4
343,4
347,16
38,18
147,4
150,4
150,18
264,4
255,18
256,18
153,18
261,18
156,18
258,4

fold along y=11
fold along x=207
fold along x=103
fold along x=51
fold along y=5
